Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	Signalp	#ofTools
rna-XM_065600794.1	-	GH18(17-351)	-	-	N	1
rna-XM_065600877.1	-	GH13_40(45-401)	-	-	N	1
rna-XM_065600919.1	-	AA3_2(21-596)	-	-	N	1
rna-XM_065600922.1	-	GH95(27-769)	-	-	N	1
rna-XM_065600949.1	-	GH55_2(122-859)	-	-	N	1
rna-XM_065600955.1	-	GT39(65-313)	-	-	N	1
rna-XM_065600962.1	-	GT20(19-470)	-	-	N	1
rna-XM_065600986.1	-	CBM66(58-214)	-	-	N	1
rna-XM_065601041.1	-	AA1(1-544)	-	-	N	1
rna-XM_065601044.1	-	GH89(72-743)	-	-	Y(1-21)	1
rna-XM_065601105.1	-	GH17(300-541)	-	-	Y(1-20)	1
rna-XM_065601108.1	-	GH13_40(34-290)	-	-	N	1
rna-XM_065601151.1	-	GH76(2-357)	-	-	N	1
rna-XM_065601161.1	-	AA4(91-309)	-	-	Y(1-29)	1
rna-XM_065601234.1	-	GT76(16-434)	-	-	N	1
rna-XM_065601267.1	-	GH92(102-610)	-	-	N	1
rna-XM_065601292.1	-	GH76(33-403)	-	-	Y(1-24)	1
rna-XM_065601318.1	-	GH20(161-490)	-	-	Y(1-19)	1
rna-XM_065601356.1	-	GT1(273-592)	-	-	N	1
rna-XM_065601453.1	-	GH95(19-792)	-	-	N	1
rna-XM_065601479.1	-	AA3_2(7-333)	-	-	N	1
rna-XM_065601488.1	-	GH76(285-652)	-	-	N	1
rna-XM_065601521.1	-	GH105(35-362)	-	-	Y(1-27)	1
rna-XM_065601562.1	-	GH55_2(9-715)	-	-	N	1
rna-XM_065601681.1	-	GH18(17-153)	-	-	N	1
rna-XM_065601698.1	-	GH154(27-363)	-	-	N	1
rna-XM_065601735.1	-	CE4(436-549)	-	-	N	1
rna-XM_065601752.1	-	GH20(187-522)	-	-	Y(1-20)	1
rna-XM_065601758.1	-	GH136(21-476)	-	-	Y(1-19)	1
rna-XM_065601799.1	-	AA1_3(2-161)	-	-	N	1
rna-XM_065601864.1	-	GH16_3(49-317)	-	-	N	1
rna-XM_065601883.1	-	GH2(36-808)	-	-	Y(1-21)	1
rna-XM_065601939.1	-	GH79(9-482)	-	-	N	1
rna-XM_065601961.1	-	GH72(19-331)+CBM43(381-467)	-	-	Y(1-20)	1
rna-XM_065601963.1	-	AA3_2(1-283)	-	-	N	1
