HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH31_1.hmm	447	rna-XM_018326768.1	924	4.2e-178	1	447	246	802	0.997762863535
GH12.hmm	156	rna-XM_018326801.2	236	3.3e-44	5	154	90	233	0.955128205128
GT4.hmm	160	rna-XM_018326805.2	675	1.9e-33	8	158	439	606	0.9375
GT32.hmm	90	rna-XM_018326815.1	325	2.8e-19	3	86	107	185	0.922222222222
AA1.hmm	358	rna-XM_018326823.2	645	1.1e-87	6	357	104	622	0.980446927374
AA7.hmm	458	rna-XM_018326825.2	478	9.6e-51	19	197	37	223	0.38864628821
GH29.hmm	346	rna-XM_018326840.1	603	7.3e-93	26	346	151	510	0.924855491329
GH115.hmm	697	rna-XM_018326842.2	982	3.4e-221	13	595	22	648	0.835007173601
GT2.hmm	230	rna-XM_018326876.2	520	1e-26	2	229	75	311	0.986956521739
GH47.hmm	446	rna-XM_018326901.2	1028	1.2e-140	2	445	17	558	0.993273542601
GH33.hmm	342	rna-XM_018326971.1	415	3.9e-58	17	329	60	386	0.912280701754
GT90.hmm	250	rna-XM_018326975.2	831	1.4e-63	8	248	561	824	0.96
GH2.hmm	752	rna-XM_018327003.2	856	1.8e-98	27	559	2	749	0.707446808511
GH76.hmm	358	rna-XM_018327040.1	588	3.3e-59	17	326	50	469	0.86312849162
GT61.hmm	119	rna-XM_018327065.2	309	7.1e-27	5	118	117	234	0.949579831933
AA3_2.hmm	568	rna-XM_018327068.2	584	7.1e-160	2	567	13	578	0.994718309859
GT50.hmm	262	rna-XM_018327091.2	475	8.7e-97	1	262	180	457	0.996183206107
AA7.hmm	458	rna-XM_018327150.2	519	4.5e-56	17	244	95	324	0.495633187773
GH29.hmm	346	rna-XM_018327151.2	493	3.2e-53	38	338	39	365	0.867052023121
GT1.hmm	382	rna-XM_018327212.2	840	7.3e-59	9	377	124	521	0.96335078534
GH54.hmm	316	rna-XM_018327234.2	504	3.7e-141	1	315	28	341	0.993670886076
CBM42.hmm	136	rna-XM_018327234.2	504	6.5e-50	2	135	359	498	0.977941176471
GH20.hmm	337	rna-XM_018327261.2	605	7.9e-92	7	336	175	548	0.976261127596
AA11.hmm	191	rna-XM_018327280.1	227	2.9e-64	12	190	38	213	0.931937172775
GH27.hmm	229	rna-XM_018327296.2	435	4e-59	2	229	127	410	0.991266375546
AA14.hmm	255	rna-XM_018327334.1	326	6.1e-36	1	254	5	269	0.992156862745
GH172.hmm	236	rna-XM_018327338.2	459	1.6e-79	1	236	105	366	0.995762711864
GH84.hmm	295	rna-XM_018327346.2	650	1.5e-95	1	294	184	493	0.993220338983
GT20.hmm	475	rna-XM_018327374.2	911	2e-156	32	474	164	618	0.930526315789
GH75.hmm	220	rna-XM_018327408.2	235	1.3e-86	6	219	10	231	0.968181818182
AA3_3.hmm	590	rna-XM_018327414.2	616	2.4e-276	2	590	9	613	0.996610169492
GH72.hmm	312	rna-XM_018327415.2	490	9.1e-122	10	310	1	304	0.961538461538
CBM43.hmm	83	rna-XM_018327415.2	490	3.3e-18	2	82	356	441	0.963855421687
AA3.hmm	618	rna-XM_018327435.2	543	1.1e-87	87	409	12	542	0.521035598706
AA7.hmm	458	rna-XM_018327490.2	461	1.1e-45	9	202	33	220	0.421397379913
AA7.hmm	458	rna-XM_018327491.2	567	1.3e-52	12	187	116	303	0.382096069869
GH17.hmm	311	rna-XM_018327499.1	727	2.1e-32	10	306	447	713	0.951768488746
GH18.hmm	296	rna-XM_018327506.1	426	2.6e-76	6	289	44	395	0.956081081081
AA3_1.hmm	548	rna-XM_018327518.1	574	2.7e-172	13	545	29	569	0.970802919708
GH24.hmm	137	rna-XM_018327521.2	271	7e-39	4	137	113	254	0.970802919708
GH75.hmm	220	rna-XM_018327524.2	304	6.8e-74	6	220	13	253	0.972727272727
GH172.hmm	236	rna-XM_018327532.2	454	1.2e-77	1	236	99	360	0.995762711864
GH18.hmm	296	rna-XM_018327534.2	259	1.4e-16	55	228	3	211	0.584459459459
GH188.hmm	259	rna-XM_018327575.2	359	1.1e-26	1	199	10	206	0.764478764479
GH79.hmm	455	rna-XM_018327601.2	516	2.3e-30	2	389	42	434	0.850549450549
AA5_2.hmm	607	rna-XM_018327623.2	685	7.7e-267	2	606	72	683	0.995057660626
AA7.hmm	458	rna-XM_018327633.2	604	5.9e-34	12	453	127	583	0.96288209607
GH3.hmm	216	rna-XM_018327638.2	371	1.2e-38	10	215	103	325	0.949074074074
GH65.hmm	372	rna-XM_018327695.2	1004	6.2e-77	3	372	393	748	0.991935483871
GH28.hmm	325	rna-XM_018327722.2	360	5.3e-73	4	311	39	350	0.944615384615
GH3.hmm	216	rna-XM_018327795.2	1247	7e-57	4	216	34	245	0.981481481481
GH2.hmm	752	rna-XM_018327802.2	886	1.4e-59	45	534	51	721	0.650265957447
GH31_2.hmm	455	rna-XM_018327805.2	851	9.2e-199	2	455	236	720	0.995604395604
GH27.hmm	229	rna-XM_018327807.1	533	4.8e-58	1	227	121	378	0.986899563319
GH35.hmm	307	rna-XM_018327808.1	640	1.8e-96	1	306	38	360	0.99348534202
AA3_2.hmm	568	rna-XM_018327812.1	565	1.2e-145	2	566	5	559	0.992957746479
AA7.hmm	458	rna-XM_018327884.1	521	1.9e-52	6	202	81	279	0.427947598253
GH45.hmm	198	rna-XM_018327924.2	234	5.9e-86	1	197	25	220	0.989898989899
GT32.hmm	90	rna-XM_018327962.2	223	2.4e-16	16	81	5	66	0.722222222222
GH177.hmm	347	rna-XM_018327984.1	354	2.2e-32	2	322	5	312	0.922190201729
GH18.hmm	296	rna-XM_018328095.1	317	6.3e-27	4	216	31	271	0.716216216216
GT2.hmm	527	rna-XM_018328107.1	674	8e-35	154	508	309	667	0.671726755218
AA9.hmm	220	rna-XM_018328113.2	305	2.4e-72	2	220	11	236	0.990909090909
GH55_2.hmm	740	rna-XM_018328148.2	651	1e-257	94	740	1	648	0.872972972973
GH128.hmm	224	rna-XM_018328149.2	198	2.4e-41	4	146	40	196	0.633928571429
GH18.hmm	296	rna-XM_018328169.2	384	1.7e-20	3	160	77	288	0.530405405405
GT2.hmm	170	rna-XM_018328175.2	242	2.8e-36	1	169	11	180	0.988235294118
GH13_40.hmm	359	rna-XM_018328223.2	589	2e-155	1	358	34	397	0.994428969359
GH32.hmm	293	rna-XM_018328224.2	561	3.5e-64	1	281	23	350	0.955631399317
GH92.hmm	491	rna-XM_018328257.2	856	4e-155	2	491	340	847	0.995926680244
GH128.hmm	224	rna-XM_018328261.1	262	4.8e-60	4	224	40	250	0.982142857143
CE5.hmm	189	rna-XM_018328283.1	228	3.4e-40	2	188	49	224	0.984126984127
GH105.hmm	332	rna-XM_018328308.1	396	4.1e-47	16	332	49	388	0.951807228916
GT2.hmm	197	rna-XM_018328359.2	768	5.2e-19	5	189	347	534	0.934010152284
GH12.hmm	156	rna-XM_018328362.1	321	5.6e-22	20	153	177	315	0.852564102564
AA3.hmm	618	rna-XM_018328371.2	1331	4e-37	83	402	67	635	0.516181229773
GH92.hmm	491	rna-XM_018328385.2	829	1.2e-160	4	490	269	777	0.989816700611
GH2.hmm	752	rna-XM_018328386.2	951	4.8e-73	50	549	42	798	0.663563829787
GT61.hmm	119	rna-XM_018328405.2	309	4.5e-27	5	118	117	234	0.949579831933
GH16_18.hmm	158	rna-XM_018328604.2	501	3.5e-66	2	158	69	224	0.987341772152
GH5_31.hmm	281	rna-XM_018328608.2	362	5.8e-132	2	281	43	323	0.992882562278
GH31_3.hmm	429	rna-XM_018328609.1	781	1.5e-188	1	428	259	698	0.995337995338
GH18.hmm	296	rna-XM_018328620.2	707	5.8e-22	6	197	20	265	0.64527027027
GT20.hmm	475	rna-XM_018328646.2	528	1.7e-203	13	473	13	475	0.968421052632
GH18.hmm	296	rna-XM_018328675.2	1060	3.2e-65	29	292	5	341	0.888513513514
GH55_2.hmm	740	rna-XM_018328676.2	1470	6e-299	3	740	120	870	0.995945945946
CBM66.hmm	155	rna-XM_018328676.2	1470	1.7e-32	5	153	1310	1463	0.954838709677
GH136.hmm	491	rna-XM_018328845.2	467	4.1e-84	4	491	8	463	0.991853360489
GT71.hmm	264	rna-XM_065599520.1	333	8.2e-39	55	264	20	234	0.791666666667
GH18.hmm	296	rna-XM_065599557.1	1406	2.5e-50	2	279	482	831	0.935810810811
CE4.hmm	130	rna-XM_065599658.1	482	7.5e-25	6	127	78	209	0.930769230769
GT8.hmm	257	rna-XM_065599784.1	446	2.7e-41	31	254	9	221	0.867704280156
GH20.hmm	337	rna-XM_065599826.1	659	2.6e-47	18	335	121	442	0.940652818991
GH152.hmm	216	rna-XM_065599870.1	374	9.5e-46	63	216	98	304	0.708333333333
CE4.hmm	130	rna-XM_065599890.1	459	3.1e-24	8	125	31	156	0.9
AA7.hmm	458	rna-XM_065599893.1	481	8.9e-65	6	170	31	194	0.35807860262
AA7.hmm	458	rna-XM_065599897.1	476	3.7e-46	21	452	32	454	0.941048034934
CBM21.hmm	107	rna-XM_065599899.1	558	1.3e-34	4	107	248	354	0.96261682243
AA1.hmm	358	rna-XM_065599904.1	550	1e-55	7	161	118	286	0.430167597765
GH5_41.hmm	267	rna-XM_065599905.1	447	9.6e-46	15	263	108	382	0.928838951311
GH105.hmm	332	rna-XM_065599908.1	978	2.1e-20	12	262	48	309	0.753012048193
AA7.hmm	458	rna-XM_065599909.1	336	2.4e-44	108	457	3	330	0.762008733624
GT71.hmm	264	rna-XM_065599946.1	334	8.6e-41	55	264	20	234	0.791666666667
AA8.hmm	182	rna-XM_065600027.1	433	1.2e-18	17	174	31	177	0.862637362637
CE4.hmm	130	rna-XM_065600036.1	231	5.1e-21	31	125	19	123	0.723076923077
GT66.hmm	693	rna-XM_065600042.1	748	1.3e-191	9	599	21	669	0.851370851371
GH18.hmm	296	rna-XM_065600196.1	778	1.2e-23	7	197	21	269	0.641891891892
GH51_1.hmm	472	rna-XM_065600244.1	691	2.1e-162	2	447	15	482	0.942796610169
GT1.hmm	382	rna-XM_065600277.1	490	2e-17	135	374	183	480	0.625654450262
GH154.hmm	348	rna-XM_065600281.1	547	7.9e-119	1	347	14	392	0.994252873563
GH13_5.hmm	342	rna-XM_065600286.1	479	3.5e-140	1	342	37	380	0.997076023392
GT48.hmm	739	rna-XM_065600300.1	1685	2.9e-239	1	480	831	1414	0.648173207037
GT2.hmm	197	rna-XM_065600308.1	507	9.4e-22	1	182	120	384	0.918781725888
CBM21.hmm	107	rna-XM_065600316.1	402	2.6e-30	4	107	110	219	0.96261682243
GT90.hmm	250	rna-XM_065600343.1	1128	5e-48	11	213	582	810	0.808
GT1.hmm	382	rna-XM_065600349.1	1439	1.1e-53	6	378	951	1366	0.973821989529
GH79.hmm	455	rna-XM_065600352.1	517	3.4e-49	1	424	44	481	0.92967032967
GT61.hmm	119	rna-XM_065600449.1	218	1.8e-27	5	118	26	143	0.949579831933
AA7.hmm	458	rna-XM_065600476.1	456	3.6e-48	11	201	23	215	0.414847161572
AA4.hmm	522	rna-XM_065600507.1	610	2.3e-18	9	192	135	318	0.350574712644
GH18.hmm	296	rna-XM_065600544.1	347	1.3e-55	3	284	21	332	0.949324324324
GT62.hmm	268	rna-XM_065600567.1	479	8.3e-125	3	268	84	347	0.988805970149
GH3.hmm	216	rna-XM_065600648.1	794	7.2e-52	2	215	88	318	0.986111111111
GH136.hmm	491	rna-XM_065600693.1	647	1.7e-105	15	488	28	497	0.9633401222
GH30_3.hmm	417	rna-XM_065600701.1	502	5.9e-116	15	416	69	489	0.961630695444
CE16.hmm	267	rna-XM_065600767.1	345	2.5e-60	1	266	31	330	0.992509363296
GH18.hmm	296	rna-XM_065600794.1	366	5.7e-65	5	284	17	351	0.942567567568
GH13_40.hmm	359	rna-XM_065600877.1	467	1.4e-168	1	359	45	401	0.99721448468
AA3_2.hmm	568	rna-XM_065600919.1	599	3.6e-177	2	568	21	596	0.996478873239
GH95.hmm	722	rna-XM_065600922.1	795	2.7e-224	9	716	27	769	0.979224376731
GH55_2.hmm	740	rna-XM_065600949.1	1387	4e-251	3	725	122	859	0.975675675676
GT39.hmm	223	rna-XM_065600955.1	951	5.3e-70	2	223	65	313	0.991031390135
GT20.hmm	475	rna-XM_065600962.1	745	1.3e-146	34	474	19	470	0.926315789474
CBM66.hmm	155	rna-XM_065600986.1	219	1.9e-31	2	155	58	214	0.987096774194
AA1.hmm	358	rna-XM_065601041.1	573	1.1e-72	11	357	1	544	0.966480446927
GH89.hmm	663	rna-XM_065601044.1	776	9.2e-196	2	639	72	743	0.960784313725
GH17.hmm	311	rna-XM_065601105.1	554	8.9e-18	11	297	300	541	0.91961414791
GH13_40.hmm	359	rna-XM_065601108.1	291	5.3e-128	1	264	34	290	0.732590529248
GH76.hmm	358	rna-XM_065601151.1	421	4.8e-103	28	355	2	357	0.913407821229
AA4.hmm	522	rna-XM_065601161.1	545	4.9e-17	12	248	91	309	0.452107279693
GT76.hmm	407	rna-XM_065601234.1	434	7.5e-106	3	407	16	434	0.992628992629
GH92.hmm	491	rna-XM_065601267.1	630	1.5e-164	3	489	102	610	0.989816700611
GH76.hmm	358	rna-XM_065601292.1	472	1.6e-95	12	355	33	403	0.958100558659
GH20.hmm	337	rna-XM_065601318.1	699	2.4e-52	10	335	161	490	0.964391691395
GT1.hmm	382	rna-XM_065601356.1	1226	1.4e-57	90	378	273	592	0.753926701571
GH95.hmm	722	rna-XM_065601453.1	808	7e-186	5	705	19	792	0.969529085873
AA3_2.hmm	568	rna-XM_065601479.1	518	4.2e-84	2	344	7	333	0.602112676056
GH76.hmm	358	rna-XM_065601488.1	722	2e-88	12	346	285	652	0.932960893855
GH105.hmm	332	rna-XM_065601521.1	368	4.8e-98	9	331	35	362	0.969879518072
GH55_2.hmm	740	rna-XM_065601562.1	1303	4.1e-252	44	729	9	715	0.925675675676
GH18.hmm	296	rna-XM_065601681.1	182	7.8e-33	52	163	17	153	0.375
GH154.hmm	348	rna-XM_065601698.1	665	2.9e-104	2	347	27	363	0.991379310345
CE4.hmm	130	rna-XM_065601735.1	641	4.6e-18	7	114	436	549	0.823076923077
GH20.hmm	337	rna-XM_065601752.1	567	1.9e-91	8	335	187	522	0.970326409496
GH136.hmm	491	rna-XM_065601758.1	483	7.7e-80	4	489	21	476	0.987780040733
AA1_3.hmm	312	rna-XM_065601799.1	297	4.2e-66	63	216	2	161	0.490384615385
GH16_3.hmm	230	rna-XM_065601864.1	321	9.8e-47	3	230	49	317	0.986956521739
GH2.hmm	752	rna-XM_065601883.1	913	4.1e-76	33	569	36	808	0.712765957447
GH79.hmm	455	rna-XM_065601939.1	505	8.9e-88	3	436	9	482	0.951648351648
GH72.hmm	312	rna-XM_065601961.1	536	2e-129	3	311	19	331	0.987179487179
CBM43.hmm	83	rna-XM_065601961.1	536	3.4e-18	1	82	381	467	0.975903614458
AA3_2.hmm	568	rna-XM_065601963.1	304	1e-64	92	372	1	283	0.492957746479
GH28.hmm	325	rna-XM_065601965.1	378	1.3e-68	5	310	40	351	0.938461538462
